id,age,year,wrkstat,hrs1,marital,degree,sphrs1,postlife,sex,SIBS,agekdbrn,othlang,born,neisafe,hsbio,hschem,tspac,nextgen,grass,hrlax,colsci,fmi,numpets,trust,tvhours,sop,ssi,sphrs2,educ,moos,faos,realrinc,wordsum,rhs,Male,pres
1133,21.0,2018,"unempl, laid off",,5.0,high school,,yes,1,2.0,,yes,yes,somewhat unsafe,,,too much,,legal,,,6242.0,0.0,can't be too careful,,,,,15.0,,63.0,908.0,,excellent,male,38.0
1237,21.0,2018,"unempl, laid off",,5.0,high school,,yes,1,3.0,,no,yes,somewhat safe,yes,yes,too little,agree,,,no,72640.0,,,1.0,,,,14.0,45.0,47.0,,8.0,,male,29.0
1993,21.0,2018,"unempl, laid off",,5.0,high school,,,1,3.0,19.0,no,yes,somewhat safe,no,no,,disagree,,,no,,,,0.0,38.0,25.0,,12.0,,38.0,,6.0,,male,37.0
186,21.0,2018,school,,5.0,high school,,no,2,1.0,,yes,yes,very safe,,,,,legal,,,72640.0,0.0,can't be too careful,,,,,14.0,64.0,48.0,908.0,,,female,31.0
189,21.0,2018,school,,5.0,high school,,no,2,1.0,,yes,yes,somewhat safe,,,about right,,legal,,,,0.0,can't be too careful,,,,,14.0,38.0,60.0,,,excellent,female,18.0
1128,21.0,2018,school,,5.0,high school,,yes,2,3.0,,yes,yes,very safe,,,too little,,legal,,,30645.0,1.0,can trust,,,,,15.0,31.0,48.0,1589.0,,excellent,female,31.0
1132,21.0,2018,school,,5.0,high school,,,1,1.0,,yes,no,somewhat unsafe,yes,yes,,strongly agree,,,yes,119879.0,,,3.0,,,,14.0,58.0,63.0,,7.0,,male,
1357,21.0,2018,school,,5.0,high school,,no,1,1.0,,no,yes,very safe,,,,,legal,,,908.0,0.0,can trust,,,,,14.0,,49.0,,,,male,
1361,21.0,2018,school,,5.0,high school,,yes,1,2.0,,yes,yes,very safe,yes,yes,,strongly agree,,,yes,908.0,,,1.0,,,,14.0,45.0,63.0,,6.0,,male,
1572,21.0,2018,school,,5.0,high school,,yes,1,3.0,,no,yes,somewhat safe,,,,,not legal,,,24970.0,1.0,can't be too careful,,,,,15.0,61.0,37.0,5107.0,,,male,21.0
1947,21.0,2018,school,,5.0,high school,,yes,1,1.0,,yes,yes,very safe,,,,,legal,,,908.0,0.0,can trust,0.0,,,,15.0,,80.0,,9.0,,male,
1118,21.0,2018,keeping house,,5.0,high school,,yes,2,4.0,,yes,no,somewhat safe,yes,yes,,agree,not legal,,no,227.0,,can't be too careful,20.0,,,,12.0,,45.0,,4.0,excellent,female,
965,22.0,2018,working fulltime,55.0,1.0,high school,40.0,yes,1,4.0,,no,yes,very safe,,,,,legal,9.0,,37455.0,6.0,can't be too careful,0.0,55.0,37.0,,13.0,53.0,53.0,37455.0,5.0,,male,50.0
1054,22.0,2018,working fulltime,50.0,5.0,high school,,yes,1,6.0,,no,yes,somewhat safe,yes,yes,about right,agree,legal,6.0,no,5107.0,,can't be too careful,1.0,39.0,67.0,,13.0,37.0,74.0,5107.0,6.0,good,male,33.0
2074,22.0,2018,working fulltime,50.0,5.0,high school,,yes,1,2.0,,no,yes,somewhat unsafe,yes,no,too little,agree,legal,4.0,no,9647.0,,can't be too careful,10.0,,,,12.0,28.0,,8512.0,5.0,excellent,male,25.0
446,22.0,2018,working fulltime,48.0,5.0,high school,,yes,1,2.0,,yes,yes,somewhat safe,yes,yes,too much,strongly agree,legal,3.0,yes,54480.0,,can't be too careful,4.0,,,,12.0,,48.0,24970.0,2.0,good,male,38.0
1201,22.0,2018,working fulltime,48.0,1.0,high school,29.0,yes,1,2.0,19.0,no,yes,somewhat unsafe,,,too little,,legal,3.0,,14755.0,0.0,can't be too careful,,48.0,26.0,,12.0,53.0,41.0,10782.0,,good,male,37.0
610,22.0,2018,working fulltime,45.0,5.0,lt high school,,no,1,4.0,,yes,no,somewhat safe,no,no,about right,agree,,2.0,no,,,,1.0,,,,11.0,,28.0,2043.0,1.0,excellent,male,27.0
1547,22.0,2018,working fulltime,43.0,1.0,lt high school,58.0,yes,2,5.0,,no,yes,somewhat safe,,,about right,,legal,5.0,,45400.0,10.0,can't be too careful,,27.0,19.0,,12.0,38.0,38.0,,,good,female,38.0
136,22.0,2018,working fulltime,40.0,5.0,high school,,yes,2,2.0,,yes,yes,very safe,yes,no,,disagree,legal,4.0,no,24970.0,,can trust,0.0,,,,12.0,35.0,,,3.0,good,female,38.0
460,22.0,2018,working fulltime,40.0,1.0,junior college,44.0,no,2,1.0,,no,yes,somewhat safe,,,,,not legal,7.0,,12485.0,2.0,can't be too careful,20.0,67.0,73.0,,14.0,48.0,56.0,,2.0,,female,16.0
676,22.0,2018,working fulltime,40.0,5.0,high school,,yes,1,1.0,,no,yes,very safe,,,too little,,legal,6.0,,30645.0,3.0,can't be too careful,,,,,14.0,47.0,45.0,10782.0,,good,male,40.0
1122,22.0,2018,working fulltime,40.0,5.0,high school,,yes,2,7.0,20.0,yes,no,somewhat safe,yes,yes,about right,strongly agree,,4.0,no,14755.0,,,1.0,25.0,23.0,,12.0,25.0,,2951.0,5.0,excellent,female,43.0
1222,22.0,2018,working fulltime,40.0,5.0,high school,,yes,1,2.0,,no,yes,very safe,,,,,not legal,2.0,,30645.0,1.0,can't be too careful,,,,,12.0,53.0,46.0,17025.0,,,male,45.0
1247,22.0,2018,working fulltime,40.0,5.0,high school,,yes,1,2.0,,no,yes,somewhat safe,,,too little,,legal,3.0,,30645.0,0.0,can't be too careful,,,,,13.0,54.0,28.0,,,excellent,male,31.0
1299,22.0,2018,working parttime,40.0,5.0,lt high school,,yes,1,1.0,21.0,yes,yes,somewhat unsafe,,,,,not legal,0.0,,1589.0,0.0,can't be too careful,,28.0,21.0,,11.0,35.0,,,,,male,49.0
1157,22.0,2018,working parttime,33.0,5.0,high school,,yes,1,4.0,,yes,yes,very safe,,,,,legal,2.0,,45400.0,1.0,can't be too careful,,,,,14.0,33.0,50.0,8512.0,,,male,34.0
51,22.0,2018,working fulltime,30.0,5.0,high school,,yes,1,2.0,,no,yes,very safe,,,too little,,legal,2.0,,,1.0,can't be too careful,,,,,14.0,38.0,53.0,,,excellent,male,47.0
96,22.0,2018,working parttime,30.0,5.0,high school,,yes,1,2.0,,no,yes,somewhat safe,,,,,not legal,8.0,,,0.0,can't be too careful,,,,,14.0,47.0,51.0,,,,male,35.0
652,22.0,2018,working parttime,30.0,5.0,high school,,yes,2,4.0,19.0,no,yes,somewhat unsafe,yes,yes,too little,agree,,2.0,no,2043.0,,,1.0,,,,12.0,48.0,,2043.0,4.0,good,female,38.0
1481,22.0,2018,working parttime,30.0,5.0,high school,,yes,1,3.0,,no,yes,somewhat safe,,,,,,7.0,,20430.0,3.0,can't be too careful,,,,,12.0,,,2497.0,,good,male,28.0
1687,22.0,2018,working parttime,25.0,5.0,high school,,yes,1,2.0,,no,yes,very safe,,,too little,,legal,4.0,,30645.0,3.0,can't be too careful,,,,,12.0,55.0,42.0,,,good,male,24.0
1259,22.0,2018,working parttime,22.0,5.0,high school,,yes,1,3.0,,no,yes,somewhat safe,,,too little,,,12.0,,,2.0,can't be too careful,,,,,12.0,32.0,,,,good,male,33.0
803,22.0,2018,working parttime,20.0,5.0,high school,,yes,2,3.0,,yes,no,somewhat safe,yes,,,agree,,3.0,no,9647.0,,,3.0,44.0,28.0,,12.0,25.0,,2497.0,3.0,,female,22.0
1987,22.0,2018,working parttime,16.0,5.0,high school,,yes,2,10.0,16.0,no,yes,somewhat unsafe,,,,,legal,4.0,,6242.0,0.0,can't be too careful,,39.0,38.0,,12.0,28.0,38.0,,,,female,34.0
245,22.0,2018,working parttime,15.0,5.0,high school,,yes,2,0.0,,yes,yes,somewhat unsafe,yes,no,about right,agree,legal,0.0,yes,2951.0,,can't be too careful,3.0,,,,14.0,,49.0,,6.0,fair,female,22.0
1612,22.0,2018,working fulltime,,5.0,high school,,yes,1,1.0,,no,yes,very safe,,,,,legal,2.0,,,1.0,can trust,,,,,13.0,38.0,47.0,,,,male,38.0
526,22.0,2018,"unempl, laid off",,5.0,high school,,yes,2,3.0,17.0,no,yes,very safe,no,no,too much,agree,legal,,no,9647.0,,can't be too careful,4.0,,,,12.0,31.0,35.0,227.0,5.0,good,female,31.0
1412,22.0,2018,"unempl, laid off",,5.0,lt high school,,yes,1,6.0,,no,yes,somewhat unsafe,no,no,,agree,,,no,20430.0,,,0.0,,,,10.0,38.0,,,,,male,34.0
2132,22.0,2018,"unempl, laid off",,5.0,high school,,yes,2,1.0,,no,yes,somewhat safe,,,,,legal,,,9647.0,0.0,can't be too careful,4.0,,,,12.0,33.0,,5107.0,6.0,,female,25.0
2265,22.0,2018,"unempl, laid off",,5.0,high school,,yes,2,4.0,,no,yes,somewhat safe,,,too much,,,,,227.0,0.0,can't be too careful,,,,,14.0,35.0,,,,excellent,female,48.0
577,22.0,2018,school,,5.0,bachelor,,yes,2,2.0,,no,yes,somewhat safe,,,too much,,legal,,,30645.0,0.0,can trust,,,,,16.0,39.0,,,,excellent,female,
1088,22.0,2018,school,,5.0,high school,,yes,2,3.0,,yes,yes,somewhat safe,,,,,not legal,,,10782.0,13.0,can't be too careful,,,,,16.0,17.0,,,,,female,
1130,22.0,2018,school,,5.0,junior college,,yes,1,3.0,,no,yes,somewhat unsafe,yes,yes,too much,agree,,,yes,37455.0,,,2.0,,,,16.0,,43.0,30645.0,5.0,,male,30.0
1362,22.0,2018,school,,5.0,high school,,,1,2.0,,no,yes,very safe,,,about right,,legal,,,,0.0,can trust,,,,,15.0,69.0,71.0,,,excellent,male,
1408,22.0,2018,school,,5.0,high school,,yes,1,1.0,,no,yes,somewhat safe,,,about right,,legal,,,24970.0,0.0,can't be too careful,,,,,14.0,51.0,,9647.0,,good,male,43.0
